xhat,yhat,gvar,action,xhat_next,yhat_next,gvar_next,var_x,var_y,cov_xy,var_x_next,var_y_next,cov_xy_next
0,0,0,east,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0,east,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,1,east,1,2,1,0.0,0.1,0.0,0.0,0.1,0.0
0,2,3,east,1,2,8,0.0,0.2,0.0,0.1,0.2,0.0
0,2,4,east,1,2,8,0.1,0.1,0.0,0.1,0.2,0.0
0,2,8,east,1,2,11,0.1,0.2,0.0,0.2,0.2,0.0
0,2,8,east,1,2,8,0.1,0.2,0.0,0.1,0.2,0.0
0,2,10,east,1,2,10,0.1,0.3,0.0,0.1,0.3,0.0
0,2,10,east,1,2,16,0.1,0.3,0.0,0.2,0.3,0.0
0,2,14,east,1,2,21,0.1,0.4,0.0,0.2,0.4,0.0
0,2,16,east,1,2,21,0.2,0.3,0.0,0.2,0.4,0.0
0,2,21,east,1,2,21,0.2,0.4,0.0,0.2,0.4,0.0
0,3,0,south,0,2,1,0.0,0.0,0.0,0.0,0.1,0.0
0,3,1,south,0,2,3,0.0,0.1,0.0,0.0,0.2,0.0
0,3,1,south,0,2,1,0.0,0.1,0.0,0.0,0.1,0.0
0,3,4,south,0,2,8,0.1,0.1,0.0,0.1,0.2,0.0
0,3,4,south,0,2,4,0.1,0.1,0.0,0.1,0.1,0.0
0,3,8,south,0,2,8,0.1,0.2,0.0,0.1,0.2,0.0
0,3,8,south,0,2,10,0.1,0.2,0.0,0.1,0.3,0.0
0,3,10,south,0,2,16,0.1,0.3,0.0,0.2,0.3,0.0
0,3,10,south,0,2,14,0.1,0.3,0.0,0.1,0.4,0.0
0,3,10,south,0,2,10,0.1,0.3,0.0,0.1,0.3,0.0
0,3,16,south,0,2,21,0.2,0.3,0.0,0.2,0.4,0.0
0,3,21,south,0,2,21,0.2,0.4,0.0,0.2,0.4,0.0
0,4,0,south,0,3,1,0.0,0.0,0.0,0.0,0.1,0.0
0,4,1,south,0,3,1,0.0,0.1,0.0,0.0,0.1,0.0
0,4,2,south,0,3,4,0.1,0.0,0.0,0.1,0.1,0.0
0,4,4,south,0,3,4,0.1,0.1,0.0,0.1,0.1,0.0
0,4,4,south,0,3,8,0.1,0.1,0.0,0.1,0.2,0.0
0,4,8,south,0,3,10,0.1,0.2,0.0,0.1,0.3,0.0
0,4,10,south,0,3,10,0.1,0.3,0.0,0.1,0.3,0.0
0,4,10,south,0,3,16,0.1,0.3,0.0,0.2,0.3,0.0
0,4,16,south,0,3,21,0.2,0.3,0.0,0.2,0.4,0.0
0,4,19,south,0,3,25,0.3,0.3,0.0,0.3,0.4,0.0
0,5,0,south,0,4,1,0.0,0.0,0.0,0.0,0.1,0.0
0,5,2,south,0,4,4,0.1,0.0,0.0,0.1,0.1,0.0
0,5,4,south,0,4,8,0.1,0.1,0.0,0.1,0.2,0.0
0,5,4,south,0,4,4,0.1,0.1,0.0,0.1,0.1,0.0
0,5,8,south,0,4,10,0.1,0.2,0.0,0.1,0.3,0.0
0,5,8,south,0,4,16,0.1,0.2,0.0,0.2,0.3,0.0
0,5,8,south,0,4,8,0.1,0.2,0.0,0.1,0.2,0.0
0,5,16,south,0,4,16,0.2,0.3,0.0,0.2,0.3,0.0
0,5,19,south,0,4,19,0.3,0.3,0.0,0.3,0.3,0.0
0,7,0,east,1,7,0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,1,east,1,7,1,0.0,0.1,0.0,0.0,0.1,0.0
0,7,4,east,1,7,9,0.1,0.1,0.0,0.2,0.1,0.0
0,7,4,east,1,7,4,0.1,0.1,0.0,0.1,0.1,0.0
0,8,0,south,0,7,1,0.0,0.0,0.0,0.0,0.1,0.0
0,8,2,south,0,7,4,0.1,0.0,0.0,0.1,0.1,0.0
0,9,0,south,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
0,9,2,south,0,8,2,0.1,0.0,0.0,0.1,0.0,0.0
1,0,0,east,2,0,2,0.0,0.0,0.0,0.1,0.0,0.0
1,0,1,east,2,0,4,0.0,0.1,0.0,0.1,0.1,0.0
1,0,4,east,2,0,4,0.1,0.1,0.0,0.1,0.1,0.0
1,0,4,east,2,0,9,0.1,0.1,0.0,0.2,0.1,0.0
1,0,8,east,2,0,8,0.1,0.2,0.0,0.1,0.2,0.0
1,0,10,east,2,0,16,0.1,0.3,0.0,0.2,0.3,0.0
1,0,10,east,2,0,10,0.1,0.3,0.0,0.1,0.3,0.0
1,0,16,east,2,0,16,0.2,0.3,0.0,0.2,0.3,0.0
1,0,21,east,2,0,29,0.2,0.4,0.0,0.3,0.5,0.0
1,0,21,east,2,0,21,0.2,0.4,0.0,0.2,0.4,0.0
1,0,21,east,2,0,25,0.2,0.4,0.0,0.3,0.4,0.0
1,1,0,south,1,0,1,0.0,0.0,0.0,0.0,0.1,0.0
1,1,1,south,1,0,4,0.0,0.1,0.0,0.1,0.1,0.0
1,1,1,south,1,0,8,0.0,0.1,0.0,0.1,0.2,0.0
1,1,1,south,1,0,1,0.0,0.1,0.0,0.0,0.1,0.0
1,1,4,south,1,0,8,0.1,0.1,0.0,0.1,0.2,0.0
1,1,4,south,1,0,4,0.1,0.1,0.0,0.1,0.1,0.0
1,1,8,south,1,0,10,0.1,0.2,0.0,0.1,0.3,0.0
1,1,10,south,1,0,10,0.1,0.3,0.0,0.1,0.3,0.0
1,1,10,south,1,0,16,0.1,0.3,0.0,0.2,0.3,0.0
1,1,16,south,1,0,21,0.2,0.3,0.0,0.2,0.4,0.0
1,1,21,south,1,0,24,0.2,0.4,0.0,0.2,0.5,0.0
1,1,21,south,1,0,21,0.2,0.4,0.0,0.2,0.4,0.0
1,2,0,south,1,1,1,0.0,0.0,0.0,0.0,0.1,0.0
1,2,1,south,1,1,1,0.0,0.1,0.0,0.0,0.1,0.0
1,2,1,south,1,1,4,0.0,0.1,0.0,0.1,0.1,0.0
1,2,1,south,1,1,8,0.0,0.1,0.0,0.1,0.2,0.0
1,2,2,south,1,1,4,0.1,0.0,0.0,0.1,0.1,0.0
1,2,8,south,1,1,8,0.1,0.2,0.0,0.1,0.2,0.0
1,2,8,south,1,1,10,0.1,0.2,0.0,0.1,0.3,0.0
1,2,10,south,1,1,16,0.1,0.3,0.0,0.2,0.3,0.0
1,2,11,south,1,1,16,0.2,0.2,0.0,0.2,0.3,0.0
1,2,16,south,1,1,21,0.2,0.3,0.0,0.2,0.4,0.0
1,2,21,south,1,1,21,0.2,0.4,0.0,0.2,0.4,0.0
1,2,21,south,1,1,24,0.2,0.4,0.0,0.2,0.5,0.0
1,3,0,south,1,2,1,0.0,0.0,0.0,0.0,0.1,0.0
1,4,0,west,0,4,2,0.0,0.0,0.0,0.1,0.0,0.0
1,5,0,west,0,5,2,0.0,0.0,0.0,0.1,0.0,0.0
1,5,1,west,0,5,4,0.0,0.1,0.0,0.1,0.1,0.0
1,5,2,west,0,5,2,0.1,0.0,0.0,0.1,0.0,0.0
1,5,4,west,0,5,8,0.1,0.1,0.0,0.1,0.2,0.0
1,5,8,west,0,5,8,0.1,0.2,0.0,0.1,0.2,0.0
1,5,8,west,0,5,16,0.1,0.2,0.0,0.2,0.3,0.0
1,5,11,west,0,5,19,0.2,0.2,0.0,0.3,0.3,0.0
1,6,0,south,1,5,1,0.0,0.0,0.0,0.0,0.1,0.0
1,6,1,south,1,5,8,0.0,0.1,0.0,0.1,0.2,0.0
1,6,1,south,1,5,4,0.0,0.1,0.0,0.1,0.1,0.0
1,6,1,south,1,5,1,0.0,0.1,0.0,0.0,0.1,0.0
1,6,4,south,1,5,8,0.1,0.1,0.0,0.1,0.2,0.0
1,6,8,south,1,5,8,0.1,0.2,0.0,0.1,0.2,0.0
1,6,11,south,1,5,11,0.2,0.2,0.0,0.2,0.2,0.0
1,7,0,south,1,6,1,0.0,0.0,0.0,0.0,0.1,0.0
1,7,1,south,1,6,8,0.0,0.1,0.0,0.1,0.2,0.0
1,7,1,south,1,6,1,0.0,0.1,0.0,0.0,0.1,0.0
1,7,1,south,1,6,4,0.0,0.1,0.0,0.1,0.1,0.0
1,7,4,south,1,6,8,0.1,0.1,0.0,0.1,0.2,0.0
1,7,9,south,1,6,11,0.2,0.1,0.0,0.2,0.2,0.0
1,8,0,south,1,7,1,0.0,0.0,0.0,0.0,0.1,0.0
1,9,0,west,0,9,2,0.0,0.0,0.0,0.1,0.0,0.0
1,9,2,west,0,9,2,0.1,0.0,0.0,0.1,0.0,0.0
2,0,0,east,3,0,2,0.0,0.0,0.0,0.1,0.0,0.0
2,0,1,east,3,0,4,0.0,0.1,0.0,0.1,0.1,0.0
2,0,2,east,3,0,2,0.1,0.0,0.0,0.1,0.0,0.0
2,0,4,east,3,0,4,0.1,0.1,0.0,0.1,0.1,0.0
2,0,4,east,3,0,11,0.1,0.1,0.0,0.2,0.2,0.0
2,0,4,east,3,0,9,0.1,0.1,0.0,0.2,0.1,0.0
2,0,8,east,3,0,11,0.1,0.2,0.0,0.2,0.2,0.0
2,0,9,east,3,0,11,0.2,0.1,0.0,0.2,0.2,0.0
2,0,10,east,3,0,16,0.1,0.3,0.0,0.2,0.3,0.0
2,0,16,east,3,0,25,0.2,0.3,0.0,0.3,0.4,0.0
2,0,16,east,3,0,16,0.2,0.3,0.0,0.2,0.3,0.0
2,0,16,east,3,0,19,0.2,0.3,0.0,0.3,0.3,0.0
2,0,21,east,3,0,25,0.2,0.4,0.0,0.3,0.4,0.0
2,0,25,east,3,0,25,0.3,0.4,0.0,0.3,0.4,0.0
2,1,0,south,2,0,1,0.0,0.0,0.0,0.0,0.1,0.0
2,2,0,west,1,2,2,0.0,0.0,0.0,0.1,0.0,0.0
2,5,0,west,1,5,2,0.0,0.0,0.0,0.1,0.0,0.0
2,9,0,west,1,9,2,0.0,0.0,0.0,0.1,0.0,0.0
3,0,0,east,4,0,2,0.0,0.0,0.0,0.1,0.0,0.0
3,0,2,east,4,0,5,0.1,0.0,0.0,0.2,0.0,0.0
3,0,2,east,4,0,2,0.1,0.0,0.0,0.1,0.0,0.0
3,0,4,east,4,0,4,0.1,0.1,0.0,0.1,0.1,0.0
3,0,4,east,4,0,9,0.1,0.1,0.0,0.2,0.1,0.0
3,0,9,east,4,0,9,0.2,0.1,0.0,0.2,0.1,0.0
3,0,11,east,4,0,17,0.2,0.2,0.0,0.3,0.2,0.0
3,0,11,east,4,0,11,0.2,0.2,0.0,0.2,0.2,0.0
3,0,16,east,4,0,19,0.2,0.3,0.0,0.3,0.3,0.0
3,0,19,east,4,0,19,0.3,0.3,0.0,0.3,0.3,0.0
3,0,25,east,4,0,25,0.3,0.4,0.0,0.3,0.4,0.0
3,4,0,east,4,4,2,0.0,0.0,0.0,0.1,0.0,0.0
3,7,0,east,4,7,2,0.0,0.0,0.0,0.1,0.0,0.0
3,8,0,east,4,8,2,0.0,0.0,0.0,0.1,0.0,0.0
4,0,0,east,5,0,2,0.0,0.0,0.0,0.1,0.0,0.0
4,0,1,east,5,0,4,0.0,0.1,0.0,0.1,0.1,0.0
4,0,2,east,5,0,2,0.1,0.0,0.0,0.1,0.0,0.0
4,0,2,east,5,0,5,0.1,0.0,0.0,0.2,0.0,0.0
4,0,4,east,5,0,9,0.1,0.1,0.0,0.2,0.1,0.0
4,0,5,east,5,0,5,0.2,0.0,0.0,0.2,0.0,0.0
4,0,5,east,5,0,7,0.2,0.0,0.0,0.3,0.0,0.0
4,0,9,east,5,0,13,0.2,0.1,0.0,0.3,0.1,0.0
4,0,9,east,5,0,17,0.2,0.1,0.0,0.3,0.2,0.0
4,0,11,east,5,0,17,0.2,0.2,0.0,0.3,0.2,0.0
4,0,17,east,5,0,17,0.3,0.2,0.0,0.3,0.2,0.0
4,0,19,east,5,0,25,0.3,0.3,0.0,0.3,0.4,0.0
4,0,19,east,5,0,19,0.3,0.3,0.0,0.3,0.3,0.0
4,0,19,east,5,0,27,0.3,0.3,0.0,0.4,0.3,0.0
4,1,0,south,4,0,1,0.0,0.0,0.0,0.0,0.1,0.0
4,1,1,south,4,0,1,0.0,0.1,0.0,0.0,0.1,0.0
4,2,0,south,4,1,1,0.0,0.0,0.0,0.0,0.1,0.0
4,3,0,east,5,3,2,0.0,0.0,0.0,0.1,0.0,0.0
4,4,0,east,5,4,2,0.0,0.0,0.0,0.1,0.0,0.0
4,4,1,east,5,4,4,0.0,0.1,0.0,0.1,0.1,0.0
4,4,2,east,5,4,2,0.1,0.0,0.0,0.1,0.0,0.0
4,5,0,south,4,4,1,0.0,0.0,0.0,0.0,0.1,0.0
4,7,0,east,5,7,2,0.0,0.0,0.0,0.1,0.0,0.0
4,7,1,east,5,7,4,0.0,0.1,0.0,0.1,0.1,0.0
4,7,2,east,5,7,2,0.1,0.0,0.0,0.1,0.0,0.0
4,7,4,east,5,7,4,0.1,0.1,0.0,0.1,0.1,0.0
4,8,0,south,4,7,1,0.0,0.0,0.0,0.0,0.1,0.0
4,8,2,south,4,7,4,0.1,0.0,0.0,0.1,0.1,0.0
4,9,0,south,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0,east,6,0,2,0.0,0.0,0.0,0.1,0.0,0.0
5,0,2,east,6,0,2,0.1,0.0,0.0,0.1,0.0,0.0
5,0,2,east,6,0,5,0.1,0.0,0.0,0.2,0.0,0.0
5,0,4,east,6,0,4,0.1,0.1,0.0,0.1,0.1,0.0
5,0,4,east,6,0,9,0.1,0.1,0.0,0.2,0.1,0.0
5,0,5,east,6,0,7,0.2,0.0,0.0,0.3,0.0,0.0
5,0,5,east,6,0,5,0.2,0.0,0.0,0.2,0.0,0.0
5,0,7,east,6,0,12,0.3,0.0,0.0,0.3,0.1,-0.1
5,0,9,east,6,0,13,0.2,0.1,0.0,0.3,0.1,0.0
5,0,13,east,6,0,13,0.3,0.1,0.0,0.3,0.1,0.0
5,0,17,east,6,0,23,0.3,0.2,0.0,0.4,0.2,0.0
5,0,17,east,6,0,17,0.3,0.2,0.0,0.3,0.2,0.0
5,0,19,east,6,0,27,0.3,0.3,0.0,0.4,0.3,0.0
5,3,0,east,6,3,2,0.0,0.0,0.0,0.1,0.0,0.0
5,3,1,east,6,3,4,0.0,0.1,0.0,0.1,0.1,0.0
5,3,2,east,6,3,2,0.1,0.0,0.0,0.1,0.0,0.0
5,3,4,east,6,3,4,0.1,0.1,0.0,0.1,0.1,0.0
5,3,4,east,6,3,11,0.1,0.1,0.0,0.2,0.2,0.0
5,3,4,east,6,3,9,0.1,0.1,0.0,0.2,0.1,0.0
5,4,0,south,5,3,1,0.0,0.0,0.0,0.0,0.1,0.0
5,4,1,south,5,3,1,0.0,0.1,0.0,0.0,0.1,0.0
5,4,2,south,5,3,4,0.1,0.0,0.0,0.1,0.1,0.0
5,4,4,south,5,3,4,0.1,0.1,0.0,0.1,0.1,0.0
5,5,0,south,5,4,1,0.0,0.0,0.0,0.0,0.1,0.0
5,7,0,east,6,7,2,0.0,0.0,0.0,0.1,0.0,0.0
5,7,2,east,6,7,9,0.1,0.0,0.0,0.2,0.1,0.0
5,7,2,east,6,7,2,0.1,0.0,0.0,0.1,0.0,0.0
5,7,4,east,6,7,4,0.1,0.1,0.0,0.1,0.1,0.0
5,7,4,east,6,7,9,0.1,0.1,0.0,0.2,0.1,0.0
6,0,0,east,7,0,2,0.0,0.0,0.0,0.1,0.0,0.0
6,0,1,east,7,0,4,0.0,0.1,0.0,0.1,0.1,0.0
