3,13,16,3,0,0,3,0,0,0,0,0,3,3,23,16,3,0,3,3
0,6,13,3,0,3,10,3,3,0,3,6,13,3,9,13,3,3,16,23
3,0,3,3,3,0,3,6,10,9,16,16,19,9,20,9,0,3,16,6
10,3,3,13,13,6,3,10,9,16,16,12,16,13,12,10,6,3,13,3
6,0,0,3,9,10,6,3,3,13,9,10,6,6,10,12,10,3,6,0
13,3,3,3,10,9,13,6,0,6,0,3,0,0,6,10,6,3,20,3
16,6,10,3,3,6,26,13,6,13,3,0,3,0,0,6,0,0,3,3
13,3,3,3,3,10,9,3,6,13,3,3,10,3,6,10,3,0,3,13
3,0,3,10,3,6,20,6,10,6,0,0,3,3,10,6,0,0,3,13
0,0,0,3,0,0,3,0,6,0,0,0,0,0,6,0,0,0,0,3
0,3,3,3,0,0,0,3,10,6,0,0,3,6,10,6,3,0,0,0
3,13,26,16,3,0,0,0,6,13,3,6,16,13,9,13,13,3,0,0
3,3,9,13,3,0,0,0,3,13,6,16,16,9,3,3,6,0,0,0
10,6,10,9,0,0,0,0,3,3,6,13,9,16,13,6,13,6,0,3
6,0,6,10,3,3,3,6,10,6,13,6,3,13,6,6,16,16,9,10
10,3,3,3,6,16,16,13,9,3,13,3,0,3,3,10,12,16,16,6
3,3,10,6,13,26,9,9,10,6,3,0,0,0,0,6,10,9,13,6
3,0,6,0,6,6,13,13,9,10,6,0,0,3,0,3,3,0,9,10
10,6,10,6,20,3,3,3,3,6,10,3,3,10,6,20,6,3,10,6
3,0,3,0,3,0,0,3,20,3,3,0,0,3,0,6,10,3,3,0
