6,13,13,3,0,0,3,0,0,3,13,23,3,0,0
13,6,3,0,0,3,10,3,0,3,3,3,0,0,0
13,6,0,0,0,3,3,0,3,10,6,3,0,3,0
9,13,6,0,6,13,6,3,0,6,16,13,9,20,3
13,22,16,6,16,19,19,16,6,3,13,9,13,6,0
6,16,16,6,16,12,16,19,13,6,3,6,13,6,0
3,3,6,6,16,16,6,3,9,10,6,10,12,10,3
13,9,13,26,12,16,3,3,10,6,0,6,10,9,3
16,23,9,16,16,16,3,0,3,0,0,0,6,13,13
3,6,0,3,3,6,3,0,0,3,3,3,0,6,3
3,10,3,0,3,23,13,6,3,13,16,23,9,10,6
0,3,0,0,0,6,9,13,3,3,3,6,13,9,13
3,0,0,3,3,16,19,16,6,0,0,3,23,9,16
10,3,3,23,6,19,16,9,10,3,3,0,6,13,16
3,0,3,13,6,13,6,0,3,3,10,3,0,3,3
